DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
000AF657,HDA01 - 150W,5C-CF-7F-0A-F6-57,L363,-24.245045,-50.747795,Klabin,HDA-150
000AF68C,HDA01 - 150W,5C-CF-7F-0A-F6-8C,L455,-24.245050,-50.747795,Klabin,HDA-150
0006E463,HDA01 - 150W,5C-CF-7F-06-E4-63,L345,-24.245055,-50.747795,Klabin,HDA-150
000AF462,HDA01 - 150W,5C-CF-7F-0A-F4-62,L339,-24.245060,-50.747795,Klabin,HDA-150
000AF65A,HDA01 - 150W,5C-CF-7F-0A-F6-5A,L298,-24.245065,-50.747795,Klabin,HDA-150
000AF5F4,HDA01 - 150W,5C-CF-7F-0A-F5-F4,L299,-24.245070,-50.747795,Klabin,HDA-150
0006E34A,HDA01 - 150W,5C-CF-7F-06-E3-4A,L402,-24.245075,-50.747800,Klabin,HDA-150
0006E4E4,HDA01 - 150W,5C-CF-7F-06-E4-E4,L390,-24.245080,-50.747800,Klabin,HDA-150
000AF5CC,HDA01 - 150W,5C-CF-7F-0A-F5-CC,L252,-24.245085,-50.747800,Klabin,HDA-150
0006E6A9,HDA01 - 150W,5C-CF-7F-06-E6-A9,L237,-24.245090,-50.747800,Klabin,HDA-150
000AF6B1,HDA01 - 150W,5C-CF-7F-0A-F6-B1,L472,-24.245095,-50.747800,Klabin,HDA-150
000AF4A0,HDA01 - 150W,5C-CF-7F-0A-F4-A0,L407,-24.245100,-50.747800,Klabin,HDA-150
000AF498,HDA01 - 150W,5C-CF-7F-0A-F4-98,L367,-24.245105,-50.747800,Klabin,HDA-150
0006E5D8,HDA01 - 150W,5C-CF-7F-06-E5-D8,L332,-24.245110,-50.747800,Klabin,HDA-150
0006E47E,HDA01 - 150W,5C-CF-7F-06-E4-7E,L369,-24.245115,-50.747800,Klabin,HDA-150
000AF620,HDA01 - 150W,5C-CF-7F-0A-F6-20,L471,-24.245120,-50.747800,Klabin,HDA-150
0006E355,HDA01 - 150W,5C-CF-7F-06-E3-55,L396,-24.245125,-50.747805,Klabin,HDA-150
000AF528,HDA01 - 150W,5C-CF-7F-0A-F5-28,L430,-24.245130,-50.747805,Klabin,HDA-150
000AF441,HDA01 - 150W,5C-CF-7F-0A-F4-41,L482,-24.245135,-50.747805,Klabin,HDA-150
000AF605,HDA01 - 150W,5C-CF-7F-0A-F6-05,L479,-24.245140,-50.747805,Klabin,HDA-150
0006E3E7,HDA01 - 150W,5C-CF-7F-06-E3-E7,L262,-24.245145,-50.747805,Klabin,HDA-150
0006E6D9,HDA01 - 150W,5C-CF-7F-06-E6-D9,L397,-24.245150,-50.747805,Klabin,HDA-150
0006E33F,HDA01 - 150W,5C-CF-7F-06-E3-3F,L261,-24.245155,-50.747805,Klabin,HDA-150
0006E42E,HDA01 - 150W,5C-CF-7F-06-E4-2E,L436,-24.245160,-50.747805,Klabin,HDA-150
0006E774,HDA01 - 150W,5C-CF-7F-06-E7-74,L462,-24.245165,-50.747805,Klabin,HDA-150
000AF4FA,HDA01 - 150W,5C-CF-7F-0A-F4-FA,L401,-24.245170,-50.747805,Klabin,HDA-150
0006E527,HDA01 - 150W,5C-CF-7F-06-E5-27,L380,-24.245175,-50.747810,Klabin,HDA-150
0006E3F9,HDA01 - 150W,5C-CF-7F-06-E3-F9,L447,-24.245180,-50.747810,Klabin,HDA-150
